Pool Id,RecordNumner,RemainingCoins,EmissionRate,MinUptime
1417,-1,No remaining coins,No emission rate,No uptime
1418,-1,No remaining coins,No emission rate,No uptime
1419,-1,No remaining coins,No emission rate,No uptime
1422,0,116571309.171941421331945165uosmo,5833.441944444444444444,1ns
1422,1,118549350.048542149295000569uosmo,5833.441944444444444444,1ns
1422,2,119080583.287816636202222750uosmo,5833.441944444444444444,1ns
1422,3,126002346.000000000000000000uosmo,5833.441944444444444444,1ns
1423,0,385479956.543819921778472583ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,19290.123472222222222222,1h0m0s
1423,1,392020975.226464002152500285ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,19290.123472222222222222,1h0m0s
1423,2,393777666.194806083321111375ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,19290.123472222222222222,1h0m0s
1423,3,416666667.000000000000000000ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,19290.123472222222222222,1h0m0s
1427,-1,No remaining coins,No emission rate,No uptime
1428,0,14679728.881878027472790503uosmo,2188.500405092592592592,1ns
1430,-1,No remaining coins,No emission rate,No uptime
1431,0,616767930.285081495852546777ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,30864.197546296296296296,1h0m0s
1431,1,817641535.479367172935880649ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,40916.280879629629629629,1h0m0s
1431,2,627233560.174172335485833713ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,30864.197546296296296296,1h0m0s
1431,3,831515690.201257022985834139ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,40916.280879629629629629,1h0m0s
1431,4,630044265.722676453691481834ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,30864.197546296296296296,1h0m0s
1431,5,835241807.412631870358148896ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,40916.280879629629629629,1h0m0s
1431,6,666666667.000000000000000000ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,30864.197546296296296296,1h0m0s
1431,7,883791667.000000000000000000ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,40916.280879629629629629,1h0m0s
1432,0,66084.818190974832571501uosmo,3.588182870370370370,1ns
1433,0,0.007597751232943970uosmo,0.006539351851851851,1ns
1433,1,7.000000000000000000uosmo,0.000081018518518518,1ns
1434,0,116474078.677137341266572633uosmo,17276.826180555555555555,1ns
1435,0,621896.631501358388196617uosmo,64.469629629629629629,1ns
1436,0,77233200.192116309888190226uosmo,11571.148518518518518518,1ns
1437,0,3247727.264237521191534524uosmo,467.116956018518518518,1ns
1438,0,40526.528944572091509233uosmo,3.971041666666666666,1ns
1439,0,0.000954761659374252uosmo,0.000821759259259259,1ns
1439,1,71.000000000000000000uosmo,0.000821759259259259,1ns
1440,0,531147.293584448643138349uosmo,21.528715277777777777,1ns
1441,0,9631961.739375841497423020uosmo,1436.831770833333333333,1ns
1447,-1,No remaining coins,No emission rate,No uptime
1449,-1,No remaining coins,No emission rate,No uptime
1450,-1,No remaining coins,No emission rate,No uptime
1464,0,21558810.739168367430000000uosmo,3222.645000000000000000,1ns
1465,0,18.178675441406606074uosmo,15.646307870370370370,1ns
1465,1,963942.000000000000000000uosmo,11.156736111111111111,1ns
1472,-1,No remaining coins,No emission rate,No uptime
1474,-1,No remaining coins,No emission rate,No uptime
1475,0,7922534.624820002474465923uosmo,1181.116516203703703703,1ns
1476,0,8218179.583753475176704531uosmo,1131.917372685185185185,1ns
1477,0,32582250.280461515269338578uosmo,4049.914039351851851851,1ns
1478,0,51.400494903477053037uosmo,44.240185185185185185,1ns
1478,1,3734876.000000000000000000uosmo,43.227731481481481481,1ns
1479,-1,No remaining coins,No emission rate,No uptime
1480,-1,No remaining coins,No emission rate,No uptime
1481,-1,No remaining coins,No emission rate,No uptime
1482,-1,No remaining coins,No emission rate,No uptime
1483,-1,No remaining coins,No emission rate,No uptime
1490,-1,No remaining coins,No emission rate,No uptime
1492,-1,No remaining coins,No emission rate,No uptime
1500,-1,No remaining coins,No emission rate,No uptime
1501,-1,No remaining coins,No emission rate,No uptime
1502,-1,No remaining coins,No emission rate,No uptime
1503,-1,No remaining coins,No emission rate,No uptime
1504,-1,No remaining coins,No emission rate,No uptime
1506,-1,No remaining coins,No emission rate,No uptime
1507,-1,No remaining coins,No emission rate,No uptime
1512,-1,No remaining coins,No emission rate,No uptime
1516,-1,No remaining coins,No emission rate,No uptime
1517,-1,No remaining coins,No emission rate,No uptime
1565,-1,No remaining coins,No emission rate,No uptime
1566,-1,No remaining coins,No emission rate,No uptime
1580,-1,No remaining coins,No emission rate,No uptime
1581,-1,No remaining coins,No emission rate,No uptime
1588,-1,No remaining coins,No emission rate,No uptime
1589,-1,No remaining coins,No emission rate,No uptime
1590,-1,No remaining coins,No emission rate,No uptime
1591,-1,No remaining coins,No emission rate,No uptime
1592,-1,No remaining coins,No emission rate,No uptime
1593,-1,No remaining coins,No emission rate,No uptime
1594,-1,No remaining coins,No emission rate,No uptime
1597,-1,No remaining coins,No emission rate,No uptime
1598,-1,No remaining coins,No emission rate,No uptime
1600,-1,No remaining coins,No emission rate,No uptime
1604,-1,No remaining coins,No emission rate,No uptime
1605,-1,No remaining coins,No emission rate,No uptime
1609,-1,No remaining coins,No emission rate,No uptime
1610,-1,No remaining coins,No emission rate,No uptime
